n,MergeSort,ModifiedMergeSort
30,71,90
60,172,198
90,275,360
120,404,480
150,515,600
180,640,774
210,775,984
240,928,1194
270,1063,1350
300,1180,1500
330,1315,1650
360,1460,1800
390,1619,1950
420,1760,2100
450,1927,2250
480,2096,2400
510,2287,2622
540,2396,2862
570,2525,3102
600,2660,3342
630,2815,3582
660,2960,3822
690,3113,4062
720,3280,4302
750,3457,4500
780,3628,4680
810,3773,4860
840,3940,5040
870,4111,5220
900,4304,5400
930,4473,5580
960,4672,5760
990,4863,5940
1020,5084,6120
1050,5203,6300
1080,5332,6480
1110,5465,6660
1140,5620,6840
1170,5767,7020
1200,5920,7200
1230,6083,7380
1260,6260,7560
1290,6435,7740
1320,6580,7920
1350,6745,8100
1380,6916,8280
1410,7111,8460
1440,7280,8640
1470,7471,8856
1500,7664,9126
