n,Unsorted Array_Search,Unsorted Array_Insert,Unsorted Array_Delete,Unsorted Array_Maximum,Unsorted Array_Minimum,Unsorted Array_Predecessor,Unsorted Array_Successor,Sorted Array_Search,Sorted Array_Insert,Sorted Array_Delete,Sorted Array_Maximum,Sorted Array_Minimum,Sorted Array_Predecessor,Sorted Array_Successor,Singly Linked Unsorted_Search,Singly Linked Unsorted_Insert,Singly Linked Unsorted_Delete,Singly Linked Unsorted_Maximum,Singly Linked Unsorted_Minimum,Singly Linked Unsorted_Predecessor,Singly Linked Unsorted_Successor,Singly Linked Sorted_Search,Singly Linked Sorted_Insert,Singly Linked Sorted_Delete,Singly Linked Sorted_Maximum,Singly Linked Sorted_Minimum,Singly Linked Sorted_Predecessor,Singly Linked Sorted_Successor,Doubly Linked Unsorted_Search,Doubly Linked Unsorted_Insert,Doubly Linked Unsorted_Delete,Doubly Linked Unsorted_Maximum,Doubly Linked Unsorted_Minimum,Doubly Linked Unsorted_Predecessor,Doubly Linked Unsorted_Successor,Doubly Linked Sorted_Search,Doubly Linked Sorted_Insert,Doubly Linked Sorted_Delete,Doubly Linked Sorted_Maximum,Doubly Linked Sorted_Minimum,Doubly Linked Sorted_Predecessor,Doubly Linked Sorted_Successor
64,64,1,1,63,63,64,64,7,64,63,1,1,1,1,64,1,62,63,63,64,64,64,63,62,1,1,62,1,64,1,1,63,63,64,64,64,64,1,1,1,1,1
586,586,1,1,585,585,586,586,10,586,585,1,1,1,1,586,1,584,585,585,586,586,586,585,584,1,1,584,1,586,1,1,585,585,586,586,586,586,1,1,1,1,1
1109,1109,1,1,1108,1108,1109,1109,11,1109,1108,1,1,1,1,1109,1,1107,1108,1108,1109,1109,1109,1108,1107,1,1,1107,1,1109,1,1,1108,1108,1109,1109,1109,1109,1,1,1,1,1
1632,1632,1,1,1631,1631,1632,1632,11,1632,1631,1,1,1,1,1632,1,1630,1631,1631,1632,1632,1632,1631,1630,1,1,1630,1,1632,1,1,1631,1631,1632,1632,1632,1632,1,1,1,1,1
2155,2155,1,1,2154,2154,2155,2155,12,2155,2154,1,1,1,1,2155,1,2153,2154,2154,2155,2155,2155,2154,2153,1,1,2153,1,2155,1,1,2154,2154,2155,2155,2155,2155,1,1,1,1,1
2678,2678,1,1,2677,2677,2678,2678,12,2678,2677,1,1,1,1,2678,1,2676,2677,2677,2678,2678,2678,2677,2676,1,1,2676,1,2678,1,1,2677,2677,2678,2678,2678,2678,1,1,1,1,1
3201,3201,1,1,3200,3200,3201,3201,12,3201,3200,1,1,1,1,3201,1,3199,3200,3200,3201,3201,3201,3200,3199,1,1,3199,1,3201,1,1,3200,3200,3201,3201,3201,3201,1,1,1,1,1
3724,3724,1,1,3723,3723,3724,3724,12,3724,3723,1,1,1,1,3724,1,3722,3723,3723,3724,3724,3724,3723,3722,1,1,3722,1,3724,1,1,3723,3723,3724,3724,3724,3724,1,1,1,1,1
4247,4247,1,1,4246,4246,4247,4247,13,4247,4246,1,1,1,1,4247,1,4245,4246,4246,4247,4247,4247,4246,4245,1,1,4245,1,4247,1,1,4246,4246,4247,4247,4247,4247,1,1,1,1,1
4770,4770,1,1,4769,4769,4770,4770,13,4770,4769,1,1,1,1,4770,1,4768,4769,4769,4770,4770,4770,4769,4768,1,1,4768,1,4770,1,1,4769,4769,4770,4770,4770,4770,1,1,1,1,1
5293,5293,1,1,5292,5292,5293,5293,13,5293,5292,1,1,1,1,5293,1,5291,5292,5292,5293,5293,5293,5292,5291,1,1,5291,1,5293,1,1,5292,5292,5293,5293,5293,5293,1,1,1,1,1
5816,5816,1,1,5815,5815,5816,5816,13,5816,5815,1,1,1,1,5816,1,5814,5815,5815,5816,5816,5816,5815,5814,1,1,5814,1,5816,1,1,5815,5815,5816,5816,5816,5816,1,1,1,1,1
6339,6339,1,1,6338,6338,6339,6339,13,6339,6338,1,1,1,1,6339,1,6337,6338,6338,6339,6339,6339,6338,6337,1,1,6337,1,6339,1,1,6338,6338,6339,6339,6339,6339,1,1,1,1,1
6862,6862,1,1,6861,6861,6862,6862,13,6862,6861,1,1,1,1,6862,1,6860,6861,6861,6862,6862,6862,6861,6860,1,1,6860,1,6862,1,1,6861,6861,6862,6862,6862,6862,1,1,1,1,1
7385,7385,1,1,7384,7384,7385,7385,13,7385,7384,1,1,1,1,7385,1,7383,7384,7384,7385,7385,7385,7384,7383,1,1,7383,1,7385,1,1,7384,7384,7385,7385,7385,7385,1,1,1,1,1
7908,7908,1,1,7907,7907,7908,7908,13,7908,7907,1,1,1,1,7908,1,7906,7907,7907,7908,7908,7908,7907,7906,1,1,7906,1,7908,1,1,7907,7907,7908,7908,7908,7908,1,1,1,1,1
8431,8431,1,1,8430,8430,8431,8431,14,8431,8430,1,1,1,1,8431,1,8429,8430,8430,8431,8431,8431,8430,8429,1,1,8429,1,8431,1,1,8430,8430,8431,8431,8431,8431,1,1,1,1,1
8954,8954,1,1,8953,8953,8954,8954,14,8954,8953,1,1,1,1,8954,1,8952,8953,8953,8954,8954,8954,8953,8952,1,1,8952,1,8954,1,1,8953,8953,8954,8954,8954,8954,1,1,1,1,1
9477,9477,1,1,9476,9476,9477,9477,14,9477,9476,1,1,1,1,9477,1,9475,9476,9476,9477,9477,9477,9476,9475,1,1,9475,1,9477,1,1,9476,9476,9477,9477,9477,9477,1,1,1,1,1
10000,10000,1,1,9999,9999,10000,10000,14,10000,9999,1,1,1,1,10000,1,9998,9999,9999,10000,10000,10000,9999,9998,1,1,9998,1,10000,1,1,9999,9999,10000,10000,10000,10000,1,1,1,1,1
